,Address,Name,City State ZIP,ZIP,Number of Sites,Url,ZIP_str,FULL Address,latitude,longitude
448,"3000 West Jackson Street,",Oak Lawn Estates,"Morton, IL",61550.0,470,https://www.mhvillage.com/parks/86,61550.0,"3000 West Jackson Street,Morton, IL61550.0",,
449,"3001 Forest Preserve Drive,",Manson Mobile Home Park,"Chicago Heights, IL",60411.0,Not found,https://www.mhvillage.com/parks/10363,60411.0,"3001 Forest Preserve Drive,Chicago Heights, IL60411.0",,
450,"3001 S Belt W,",Westview Mobile Home Park,"Belleville, IL",62226.0,Not found,https://www.mhvillage.com/parks/11338,62226.0,"3001 S Belt W,Belleville, IL62226.0",,
451,"301 East Street,",Rolling Meadows Mobile Home Park,"Abingdon, IL",61410.0,72,https://www.mhvillage.com/parks/10724,61410.0,"301 East Street,Abingdon, IL61410.0",,
452,"301 Mine Road,",Holland Mobile Home Park,"Mascoutah, IL",62258.0,34,https://www.mhvillage.com/parks/11402,62258.0,"301 Mine Road,Mascoutah, IL62258.0",,
453,"301 North Lincoln Street,",Country Air Mobile Manor,"Smithton, IL",62285.0,96,https://www.mhvillage.com/parks/11422,62285.0,"301 North Lincoln Street,Smithton, IL62285.0",,
454,"301 North Main Street,",Lake Suzanne,"Shiloh, IL",62269.0,103,https://www.mhvillage.com/parks/11412,62269.0,"301 North Main Street,Shiloh, IL62269.0",,
455,"301 North Snell,",Riva & Sons Mobile Home Park,"Blue Mound, IL",62513.0,Not found,https://www.mhvillage.com/parks/10875,62513.0,"301 North Snell,Blue Mound, IL62513.0",,
456,"30106 Ingham Ln,",Kanallakan Court,"Godfrey, IL",62035.0,Not found,https://www.mhvillage.com/parks/107348,62035.0,"30106 Ingham Ln,Godfrey, IL62035.0",,
457,"302 North Railroad Street,",Lackmann's Mobile Home Park,"Freeburg, IL",62243.0,Not found,https://www.mhvillage.com/parks/11388,62243.0,"302 North Railroad Street,Freeburg, IL62243.0",,
458,"302 S Indiana St,",Atwood MHC West,"Atwood, IL",61913.0,Not found,https://www.mhvillage.com/parks/107294,61913.0,"302 S Indiana St,Atwood, IL61913.0",,
459,"303 E Little St,",Three Acres Park,"Rushville, IL",62681.0,Not found,https://www.mhvillage.com/parks/106848,62681.0,"303 E Little St,Rushville, IL62681.0",,
460,"303 N Vine St,",Peterson Mh Court,"Heyworth, IL",61745.0,Not found,https://www.mhvillage.com/parks/57860,61745.0,"303 N Vine St,Heyworth, IL61745.0",,
461,"304 Meister St,",Wagon Wheel,"Collinsville, IL",62234.0,Not found,https://www.mhvillage.com/parks/10933,62234.0,"304 Meister St,Collinsville, IL62234.0",,
462,"304 NE 15th St Casey Il 62420,",Greenland Estates,"Casey, IL",62420.0,Not found,https://www.mhvillage.com/parks/107072,62420.0,"304 NE 15th St Casey Il 62420,Casey, IL62420.0",,
463,"3041 E Linden Ave,",Linden Manor,"Springfield, IL",62702.0,45,https://www.mhvillage.com/parks/11271,62702.0,"3041 E Linden Ave,Springfield, IL62702.0",,
464,"305 East Taylor Avenue,",Washington Springs Estates,"Okawville, IL",62271.0,Not found,https://www.mhvillage.com/parks/11526,62271.0,"305 East Taylor Avenue,Okawville, IL62271.0",,
465,"3053 Grand Ave.,",Kimberly Terrace,"Galesburg, IL",61401.0,129,https://www.mhvillage.com/parks/10729,61401.0,"3053 Grand Ave.,Galesburg, IL61401.0",,
466,"306 E 4th St,",B&D Mobile Home Park,"Waterloo, IL",62298.0,Not found,https://www.mhvillage.com/parks/107152,62298.0,"306 E 4th St,Waterloo, IL62298.0",,
467,"307 N Main St,",Mc Coy Mh Park,"Camp Point, IL",62320.0,Not found,https://www.mhvillage.com/parks/58060,62320.0,"307 N Main St,Camp Point, IL62320.0",,
468,"31 Cornflower Lane,",Prairieland Estates Mobile Home Community,"Bloomington, IL",61701.0,103,https://www.mhvillage.com/parks/27866,61701.0,"31 Cornflower Lane,Bloomington, IL61701.0",,
469,"310 Ash Lane,",Mill Point,"East Peoria, IL",61611.0,80,https://www.mhvillage.com/parks/11648,61611.0,"310 Ash Lane,East Peoria, IL61611.0",,
470,"310 Blackford St,",Castleberrys Pondview Mh Park,"Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/57958,61832.0,"310 Blackford St,Danville, IL61832.0",,
471,"3107 Kingshighway,",Shamrock Haven,"East Saint Louis, IL",62201.0,Not found,https://www.mhvillage.com/parks/36210,62201.0,"3107 Kingshighway,East Saint Louis, IL62201.0",,
472,"3113 South Main Street,",Ann's Mobile Home Park,"Rockford, IL",61102.0,Not found,https://www.mhvillage.com/parks/11623,61102.0,"3113 South Main Street,Rockford, IL61102.0",,
473,"3113 W Chain Of Rocks Rd,",Edwards MHP,"Granite City, IL",62040.0,65,https://www.mhvillage.com/parks/57882,62040.0,"3113 W Chain Of Rocks Rd,Granite City, IL62040.0",,
